指标,地区,时间,数值
中央补助收入（万元）,    大连市,2010,963900.00000
中央补助收入（万元）,    大连市,2011,1283100.00000
中央补助收入（万元）,    大连市,2012,1284300.00000
中央补助收入（万元）,    大连市,2013,1284400.00000
中央补助收入（万元）,    大连市,2014,1293400.00000
中央补助收入（万元）,    大连市,2015,1371700.00000
中央补助收入（万元）,    大连市,2016,1613600.00000
中央补助收入（万元）,    大连市,2017,1929300.00000
中央补助收入（万元）,    大连市,2018,1911000.00000
中央补助收入（万元）,    大连市,2019,1964500.00000
中央补助收入（万元）,    大连市,2020,2480100.00000
中央补助收入（万元）,    大连市,2021,2106000.00000
中央补助收入（万元）,    大连市,2022,2608100.00000
中央补助收入（万元）,    大连市,2023,2599700.00000
中央补助收入（万元）,    大连市,2024,2663200.00000
中央补助收入（万元）,吉林省,1995,638511.00000
中央补助收入（万元）,吉林省,1996,725431.00000
中央补助收入（万元）,吉林省,1997,844996.00000
中央补助收入（万元）,吉林省,1998,941351.00000
中央补助收入（万元）,吉林省,1999,1373096.00000
中央补助收入（万元）,吉林省,2000,1627398.00000
中央补助收入（万元）,吉林省,2001,2070337.00000
中央补助收入（万元）,吉林省,2002,2419867.00000
中央补助收入（万元）,吉林省,2003,2941231.00000
中央补助收入（万元）,吉林省,2004,3510654.00000
中央补助收入（万元）,吉林省,2005,4166693.00000
中央补助收入（万元）,吉林省,2006,4643326.00000
中央补助收入（万元）,吉林省,2007,6175799.00000
中央补助收入（万元）,吉林省,2008,7569075.00000
中央补助收入（万元）,吉林省,2009,9508256.00000
中央补助收入（万元）,吉林省,2010,10741100.00000
中央补助收入（万元）,吉林省,2011,13095400.00000
中央补助收入（万元）,吉林省,2012,14755000.00000
中央补助收入（万元）,吉林省,2013,14882000.00000
中央补助收入（万元）,吉林省,2014,16023500.00000
中央补助收入（万元）,吉林省,2015,17357600.00000
中央补助收入（万元）,吉林省,2016,19049800.00000
中央补助收入（万元）,吉林省,2017,20654300.00000
中央补助收入（万元）,吉林省,2018,21249000.00000
中央补助收入（万元）,吉林省,2019,22924100.00000
中央补助收入（万元）,吉林省,2020,24804600.00000
中央补助收入（万元）,吉林省,2021,24929600.00000
中央补助收入（万元）,吉林省,2022,28918400.00000
中央补助收入（万元）,吉林省,2023,32653500.00000
中央补助收入（万元）,吉林省,2024,29674700.00000
中央补助收入（万元）,黑龙江省,1995,949600.00000
中央补助收入（万元）,黑龙江省,1996,875053.00000
中央补助收入（万元）,黑龙江省,1997,944945.00000
中央补助收入（万元）,黑龙江省,1998,1247539.00000
中央补助收入（万元）,黑龙江省,1999,1842598.00000
中央补助收入（万元）,黑龙江省,2000,2146235.00000
中央补助收入（万元）,黑龙江省,2001,2728456.00000
中央补助收入（万元）,黑龙江省,2002,3116466.00000
中央补助收入（万元）,黑龙江省,2003,3224608.00000
中央补助收入（万元）,黑龙江省,2004,4538191.00000
中央补助收入（万元）,黑龙江省,2005,5159264.00000
中央补助收入（万元）,黑龙江省,2006,6123695.00000
中央补助收入（万元）,黑龙江省,2007,8067885.00000
中央补助收入（万元）,黑龙江省,2008,9986840.00000
中央补助收入（万元）,黑龙江省,2009,12384174.00000
中央补助收入（万元）,黑龙江省,2010,14185800.00000
中央补助收入（万元）,黑龙江省,2011,18640700.00000
中央补助收入（万元）,黑龙江省,2012,20421300.00000
中央补助收入（万元）,黑龙江省,2013,21382600.00000
中央补助收入（万元）,黑龙江省,2014,22499700.00000
中央补助收入（万元）,黑龙江省,2015,24957700.00000
中央补助收入（万元）,黑龙江省,2016,28130000.00000
中央补助收入（万元）,黑龙江省,2017,30069800.00000
中央补助收入（万元）,黑龙江省,2018,30735400.00000
中央补助收入（万元）,黑龙江省,2019,33056900.00000
中央补助收入（万元）,黑龙江省,2020,39018300.00000
中央补助收入（万元）,黑龙江省,2021,37307100.00000
中央补助收入（万元）,黑龙江省,2022,41998600.00000
中央补助收入（万元）,黑龙江省,2023,48040000.00000
中央补助收入（万元）,黑龙江省,2024,45316400.00000
中央补助收入（万元）,上海,1995,1801937.00000
中央补助收入（万元）,上海,1996,1955336.00000
中央补助收入（万元）,上海,1997,2033024.00000
中央补助收入（万元）,上海,1998,2167951.00000
中央补助收入（万元）,上海,1999,2285883.00000
中央补助收入（万元）,上海,2000,2432775.00000
中央补助收入（万元）,上海,2001,2277011.00000
中央补助收入（万元）,上海,2002,2802848.00000
中央补助收入（万元）,上海,2003,3260390.00000
中央补助收入（万元）,上海,2004,3932537.00000
中央补助收入（万元）,上海,2005,3512373.00000
中央补助收入（万元）,上海,2006,3716265.00000
中央补助收入（万元）,上海,2007,3927353.00000
中央补助收入（万元）,上海,2008,4150236.00000
中央补助收入（万元）,上海,2009,4937060.00000
中央补助收入（万元）,上海,2010,5585000.00000
中央补助收入（万元）,上海,2011,6143600.00000
中央补助收入（万元）,上海,2012,6040000.00000
中央补助收入（万元）,上海,2013,6152900.00000
中央补助收入（万元）,上海,2014,6243300.00000
中央补助收入（万元）,上海,2015,6508600.00000
中央补助收入（万元）,上海,2016,6898600.00000
中央补助收入（万元）,上海,2017,7816200.00000
中央补助收入（万元）,上海,2018,8514100.00000
中央补助收入（万元）,上海,2019,9007900.00000
中央补助收入（万元）,上海,2020,11193600.00000
中央补助收入（万元）,上海,2021,9967700.00000
中央补助收入（万元）,上海,2022,13481200.00000
中央补助收入（万元）,上海,2023,14725000.00000
中央补助收入（万元）,上海,2024,11880700.00000
中央补助收入（万元）,江苏省,1995,1632607.00000
中央补助收入（万元）,江苏省,1996,1678700.00000
中央补助收入（万元）,江苏省,1997,1745660.00000
中央补助收入（万元）,江苏省,1998,1926013.00000
中央补助收入（万元）,江苏省,1999,2034486.00000
中央补助收入（万元）,江苏省,2000,2182472.00000
中央补助收入（万元）,江苏省,2001,2346430.00000
中央补助收入（万元）,江苏省,2002,2941962.00000
中央补助收入（万元）,江苏省,2003,3346501.00000
中央补助收入（万元）,江苏省,2004,4360761.00000
中央补助收入（万元）,江苏省,2005,3995071.00000
中央补助收入（万元）,江苏省,2006,4744004.00000
中央补助收入（万元）,江苏省,2007,5358438.00000
中央补助收入（万元）,江苏省,2008,6429937.00000
中央补助收入（万元）,江苏省,2009,8797119.00000
